Date,High,Low,Open,Close,Volume,Adj Close,Price
2021-08-09,150095.703125,145058.9375,146569.953125,149088.34375,2995369.0,149018.734375,0
2021-08-10,149592.015625,145562.609375,149088.34375,147577.3125,2059265.0,147508.40625,0
2021-08-11,148584.671875,145058.9375,146569.953125,145058.9375,1741664.0,144991.203125,1
2021-08-12,149088.34375,145058.9375,147073.640625,148584.671875,2928552.0,148515.296875,0
2021-08-13,148584.671875,145562.609375,148584.671875,147073.640625,2269304.0,147004.96875,0
2021-08-17,148584.671875,142036.875,147073.640625,143044.21875,3298093.0,142977.421875,1
2021-08-18,147577.3125,142540.546875,143044.21875,146569.953125,2700691.0,146501.515625,1
2021-08-19,150095.703125,145058.9375,145058.9375,147577.3125,2793372.0,147508.40625,0
2021-08-20,150095.703125,144051.578125,147577.3125,145058.9375,2756542.0,144991.203125,1
2021-08-23,149592.015625,145562.609375,147073.640625,149592.015625,2658842.0,149522.171875,1
2021-08-24,151606.734375,149088.34375,151103.046875,150095.703125,2017793.0,150025.609375,1
2021-08-25,154628.796875,149592.015625,150095.703125,152110.40625,2879751.0,152039.375,0
2021-08-26,153621.4375,148584.671875,152614.078125,150599.375,2342934.0,150529.046875,1
2021-08-27,151103.046875,148080.984375,150095.703125,151103.046875,1420190.0,151032.484375,1
2021-08-30,154125.109375,151606.734375,153117.765625,152614.078125,1616258.0,152542.8125,1
2021-08-31,156139.828125,152110.40625,153621.4375,156139.828125,3055884.0,156066.921875,0
2021-09-01,157147.171875,155132.46875,156139.828125,155132.46875,1996750.0,155060.03125,1
2021-09-02,157147.171875,154628.796875,155636.140625,156139.828125,1637117.0,156066.921875,1
2021-09-03,158658.203125,155636.140625,156643.5,157650.84375,1920545.0,157577.234375,0
2021-09-06,157650.84375,153621.4375,157147.171875,156643.5,1869678.0,156570.359375,0
2021-09-07,157147.171875,154628.796875,156643.5,155132.46875,1064421.0,155060.03125,0
2021-09-08,152614.078125,137503.78125,152614.078125,139518.484375,16796863.0,139453.34375,0
2021-09-09,135489.0625,128941.2734375,134985.390625,129444.9453125,14428152.0,129384.5,1
2021-09-10,134481.71875,126926.5625,127933.9140625,130955.9765625,9845648.0,130894.828125,0
2021-09-13,130955.9765625,123400.828125,127430.2421875,125415.53125,8612166.0,125356.96875,0
2021-09-14,126926.5625,118867.734375,123400.828125,124911.859375,18757213.0,124853.53125,0
2021-09-15,128437.59375,122897.1484375,124408.1796875,123400.828125,9012541.0,123343.203125,0
2021-09-16,125919.2109375,121889.796875,123904.5,122393.46875,4736108.0,122336.3203125,0
2021-09-17,122393.46875,118867.734375,122393.46875,120378.765625,4772535.0,120322.5546875,0
2021-09-23,118867.734375,114838.3203125,117356.703125,115845.671875,6268675.0,115791.578125,1
2021-09-24,121889.796875,116853.0234375,116853.0234375,120378.765625,5288711.0,120322.5546875,1
2021-09-27,123400.828125,120378.765625,120882.4453125,120882.4453125,3609399.0,120826.0,0
2021-09-28,122393.46875,118364.0546875,121386.1171875,118364.0546875,3420430.0,118308.7890625,0
2021-09-29,118364.0546875,115342.0,115845.671875,117356.703125,3149191.0,117301.90625,1
2021-09-30,121386.1171875,115342.0,115845.671875,118867.734375,4615972.0,118812.2265625,0
2021-10-01,120882.4453125,116853.0234375,118867.734375,117356.703125,2312100.0,117301.90625,0
2021-10-05,116853.0234375,111312.578125,115342.0,111816.2578125,4849404.0,111764.046875,1
2021-10-06,116853.0234375,112823.609375,113327.2890625,113830.96875,4577255.0,113777.8125,1
2021-10-07,120378.765625,115845.671875,115845.671875,120378.765625,5109344.0,120322.5546875,0
2021-10-08,122393.46875,118364.0546875,122393.46875,118364.0546875,3902140.0,118308.7890625,0
2021-10-12,119371.4140625,113830.96875,117860.3828125,114334.640625,3782649.0,114281.25,1
2021-10-13,119371.4140625,114838.3203125,114838.3203125,117860.3828125,2711940.0,117805.3515625,1
2021-10-14,122897.1484375,119371.4140625,119371.4140625,122393.46875,3863546.0,122336.3203125,1
2021-10-15,124408.1796875,120882.4453125,123904.5,122897.1484375,2314405.0,122839.765625,0
2021-10-18,123904.5,121386.1171875,123904.5,122393.46875,1817953.0,122336.3203125,1
2021-10-19,128437.59375,122393.46875,123904.5,128437.59375,4045279.0,128377.6171875,1
2021-10-20,131459.65625,127933.9140625,130452.3046875,128941.2734375,4923533.0,128881.0625,0
2021-10-21,130955.9765625,128437.59375,129444.9453125,128941.2734375,2280735.0,128881.0625,0
2021-10-22,130452.3046875,126422.890625,128941.2734375,128437.59375,1970923.0,128377.6171875,0
2021-10-25,128437.59375,124408.1796875,127430.2421875,126926.5625,2292747.0,126867.296875,1
2021-10-26,128941.2734375,126926.5625,126926.5625,128437.59375,1256062.0,128377.6171875,1
2021-10-27,129948.625,127430.2421875,128941.2734375,129444.9453125,1438492.0,129384.5,0
2021-10-28,130955.9765625,125919.2109375,129948.625,126422.890625,1770377.0,126363.859375,0
2021-10-29,127430.2421875,123904.5,126422.890625,126422.890625,1877548.0,126363.859375,0
2021-11-01,127933.9140625,125919.2109375,126926.5625,126422.890625,1073623.0,126363.859375,1
